date,value
2016-04-27,11143.2729
2016-05-04,11188.1989
2016-05-11,11183.643
2016-05-18,11173.4543
2016-05-25,11200.0202
2016-06-01,11226.4453
2016-06-08,11264.3327
2016-06-15,11286.0172
2016-06-22,11264.8179
2016-06-29,11249.2625
2016-07-06,11283.8422
2016-07-13,11280.597
2016-07-20,11274.7326
2016-07-27,11284.2024
2016-08-03,11353.0553
2016-08-10,11350.2361
2016-08-17,11393.8678
2016-08-24,11384.1252
2016-08-31,11373.3254
2016-09-07,11387.2997
2016-09-14,11421.8969
2016-09-21,11357.4265
2016-09-28,11350.8668
2016-10-05,11371.1458
2016-10-12,11371.0473
2016-10-19,11367.2012
2016-10-26,11401.2544
2016-11-02,11390.1487
2016-11-09,11416.8917
2016-11-16,11437.4623
2016-11-23,11426.9819
2016-11-30,11427.0771
2016-12-07,11439.3051
2016-12-14,11472.7087
2016-12-21,11460.2636
2016-12-28,11486.2246
2017-01-04,11533.3377
2017-01-11,11502.3516
2017-01-18,11538.9072
2017-01-25,11517.9638
2017-02-01,11581.5626
2017-02-08,11547.7674
2017-02-15,11579.0528
2017-02-22,11554.8663
2017-03-01,11611.141
2017-03-08,11590.5245
2017-03-15,11656.7217
2017-03-22,11646.2981
2017-03-29,11622.0159
2017-04-05,11657.2204
2017-04-12,11666.0224
2017-04-19,11677.9197
2017-04-26,11669.6659
2017-05-03,11677.0943
2017-05-10,11706.6982
2017-05-17,11725.1982
2017-05-24,11747.5885
2017-05-31,11742.869
2017-06-07,11729.0879
2017-06-14,11717.2429
2017-06-21,11718.68
2017-06-28,11708.8012
2017-07-05,11764.3633
2017-07-12,11750.2667
2017-07-19,11767.8006
2017-07-26,11804.2092
2017-08-02,11805.2703
2017-08-09,11803.9777
2017-08-16,11829.3605
2017-08-23,11831.288
2017-08-30,11813.4238
2017-09-06,11852.8697
2017-09-13,11861.4335
2017-09-20,11873.6228
2017-09-27,11873.8001
2017-10-04,11940.039
2017-10-11,11949.1716
2017-10-18,11903.9083
2017-10-25,11952.4862
2017-11-01,11988.3791
2017-11-08,11955.1184
2017-11-15,11958.5193
2017-11-22,11958.6315
2017-11-29,11920.3254
2017-12-06,11977.1653
2017-12-13,11970.3493
2017-12-20,11967.8918
2017-12-27,11970.5617
2018-01-03,11984.7702
2018-01-10,11973.3434
2018-01-17,12003.7364
2018-01-24,12000.0958
2018-01-31,12037.1712
2018-02-07,11981.688
2018-02-14,11980.9289
2018-02-21,11967.1272
2018-02-28,12042.5365
2018-03-07,11997.1727
2018-03-14,12021.4251
2018-03-21,11971.3238
2018-03-28,12045.0808
2018-04-04,12077.5912
2018-04-11,12092.2659
2018-04-18,12091.7611
2018-04-25,12105.7454
2018-05-02,12084.911
2018-05-09,12111.976
2018-05-16,12094.4888
2018-05-23,12141.5418
2018-05-30,12157.4106
2018-06-06,12156.4316
2018-06-13,12158.6679
2018-06-20,12170.5206
2018-06-27,12187.7774
2018-07-04,12224.1706
2018-07-11,12195.7829
2018-07-18,12185.6525
2018-07-25,12238.8979
2018-08-01,12247.4638
2018-08-08,12225.7338
2018-08-15,12249.5355
2018-08-22,12245.4507
2018-08-29,12231.1514
2018-09-05,12243.1943
2018-09-12,12243.168
2018-09-19,12272.7117
2018-09-26,12319.1904
2018-10-03,12309.5881
2018-10-10,12324.1774
2018-10-17,12298.0668
2018-10-24,12321.6812
2018-10-31,12311.0861
2018-11-07,12267.2944
2018-11-14,12280.6686
2018-11-21,12284.5997
2018-11-28,12306.869
2018-12-05,12384.5269
2018-12-12,12336.3729
2018-12-19,12378.567
2018-12-26,12454.7613
2019-01-02,12468.2108
2019-01-09,12468.2193
2019-01-16,12441.0657
2019-01-23,12505.6674
2019-01-30,12459.495
2019-02-06,12511.4683
