date,value
2016-04-01,3490038.19
2016-05-01,3503723.51
2016-06-01,3525125.97
2016-07-01,3544185.32
2016-08-01,3565315.2
2016-09-01,3588380.68
2016-10-01,3601186.93
2016-11-01,3617030.41
2016-12-01,3636437.75
2017-01-01,3653334.44
2017-02-01,3670049.5
2017-03-01,3687391.01
2017-04-01,3702096.52
2017-05-01,3713714.97
2017-06-01,3730076.97
2017-07-01,3746255.82
2017-08-01,3758689.36
2017-09-01,3774834.53
2017-10-01,3796900.76
2017-11-01,3815576.66
2017-12-01,3830784.99
2018-01-01,3847852.48
2018-02-01,3863895.27
2018-03-01,3876825.89
2018-04-01,3884786.86
2018-05-01,3900697.67
2018-06-01,3903142.23
2018-07-01,3925600.56
2018-08-01,3945836.92
2018-09-01,3958356.01
2018-10-01,3976162.39
2018-11-01,3991299.11
2018-12-01,4007041.95
2019-01-01,4027126.21
2019-02-01,4039735.38
2019-03-01,4051283.51
2019-04-01,4068160.66
2019-05-01,4082900.98
2019-06-01,4093846.76
2019-07-01,4117949.98
2019-08-01,4133850.51
2019-09-01,4146108.73
2019-10-01,4163507.6
2019-11-01,4164527.56
2019-12-01,4192191.39
2020-01-01,4171617.45
2020-02-01,4185098.21
2020-03-01,4169625.96
2020-04-01,4105366.12
2020-05-01,4089170.25
2020-06-01,4101550.07
2020-07-01,4117867.62
2020-08-01,4113232.46
2020-09-01,4128741.9
2020-10-01,4134691.98
2020-11-01,4135727.09
2020-12-01,4149026.48
2021-01-01,4157571.02
2021-02-01,4176857.93
2021-03-01,4188484.51
2021-04-01,4205750.36
2021-05-01,4237470.5
2021-06-01,4388618.86
2021-07-01,4405901.33
2021-08-01,4423403.41
2021-09-01,4447135.68
2021-10-01,4464959.71
2021-11-01,4490204.4
2021-12-01,4512720.41
2022-01-01,4526943.79
2022-02-01,4558299.13
2022-03-01,4598631.98
2022-04-01,4631140.48
2022-05-01,4660972.28
2022-06-01,4698764.18
2022-07-01,4722381.39
2022-08-01,4752120.15
2022-09-01,4778706.17
2022-10-01,4812477.06
2022-11-01,4843070.13
2022-12-01,4858438.6
2023-01-01,4873575.56
2023-02-01,4885540.12
2023-03-01,4909166.04
2023-04-01,4920123.88
2023-05-01,4925700.57
2023-06-01,4948993.26
2023-07-01,4959786.57
2023-08-01,4946748.73
2023-09-01,4955832.26
2023-10-01,4969075.88
2023-11-01,4993202.32
2023-12-01,4988225.92
2024-01-01,5002466.54
2024-02-01,5015270.95
2024-03-01,5014899.7
2024-04-01,5016163.86
2024-05-01,5024841.22
2024-06-01,5026364.84
2024-07-01,5046177.03
2024-08-01,5055767.38
2024-09-01,5058345.12
2024-10-01,5071852.9
2024-11-01,5066243.61
2024-12-01,4948059.37
2025-01-01,4956486.46
2025-02-01,4958507.46
2025-03-01,5022633.51
2025-04-01,5038646.2
2025-05-01,5048450.14
2025-06-01,5044179.04
2025-07-01,5056652.62
2025-08-01,5059151.98
2025-09-01,5072662.6
2025-10-01,5080530.61
2025-11-01,5083783.68
2025-12-01,5099639.18
2026-01-01,5107304.15
2026-02-01,5116788.24
